id,fromAccountNo,ToAccountNo,date,amount,type,description,userId
278,SAV7980611182,SAV7271954644,2025-03-15T13:17:23Z,4986.34,Debit,Loan repayment,14
279,SAV4698408854,SAV7980611182,2023-02-25T16:48:25Z,4157.25,Credit,Restaurant,14
280,SAV7980611182,CUR1298737106,2025-04-17T18:10:44Z,3295.02,Debit,Medical bill,14
281,BUS4944899549,SAV7795686304,2025-05-16T13:43:32Z,2674.17,Debit,Stock sale proceeds,15
282,BUS4944899549,BUS1364994639,2025-05-06T19:47:36Z,3845.93,Debit,Internet bill,15
283,CUR9462806178,BUS4944899549,2024-12-28T06:03:22Z,3388.97,Credit,Insurance premium,15
284,BUS4944899549,CUR3553440342,2024-11-10T15:40:20Z,2555.83,Debit,Cheque deposit,15
285,BUS4944899549,SAV7676965974,2024-03-28T16:13:49Z,2945.01,Debit,Cheque deposit,15
286,SAV4698408854,BUS4944899549,2023-11-05T12:33:35Z,2082.8,Credit,Restaurant,15
287,BUS4944899549,CUR9841118422,2023-08-26T05:09:29Z,2607.97,Debit,Refund,15
288,BUS4944899549,SAV5583478908,2025-09-02T03:33:15Z,228.19,Debit,Medical bill,15
289,BUS4436189121,BUS4944899549,2023-08-24T00:49:20Z,4649.96,Credit,Gym membership,15
290,BUS4944899549,SAV7049001493,2024-05-14T18:47:12Z,2134.72,Debit,Interest credit,15
291,CUR2472659626,BUS4944899549,2024-04-19T14:44:50Z,2163.51,Credit,Salary,15
292,SAV4993808565,BUS4944899549,2024-02-09T16:22:06Z,1077.91,Credit,ATM withdrawal,15
293,BUS4944899549,CUR6866036409,2023-05-09T21:01:14Z,989.39,Debit,Electricity bill,15
294,BUS5785590330,BUS4944899549,2024-06-21T17:49:17Z,1763.16,Credit,Interest credit,15
295,SAV7676965974,BUS4944899549,2023-12-20T10:49:46Z,674.07,Credit,Electricity bill,15
296,BUS4944899549,BUS7567496105,2024-05-03T11:07:06Z,2556.57,Debit,Transfer to savings,15
297,BUS4944899549,CUR1338258951,2023-10-10T20:55:40Z,2689.21,Debit,Phone bill,15
298,BUS4944899549,CUR7635473142,2023-12-21T20:12:13Z,1576.33,Debit,Interest credit,15
299,CUR8110054933,BUS4944899549,2023-04-20T13:04:19Z,4077.0,Credit,Payroll,15
300,BUS4944899549,SAV7201296029,2025-11-01T23:46:39Z,840.43,Debit,Tax payment,15
301,CUR1338258951,CUR1429416213,2023-03-05T08:01:45Z,1446.91,Debit,Consulting fee,16
302,BUS3193894984,CUR1338258951,2025-07-25T20:35:40Z,2865.71,Credit,ATM withdrawal,16
303,SAV7418301077,CUR1338258951,2025-01-21T19:44:06Z,2209.63,Credit,Subscription renewal,16
304,CUR5292015249,CUR1338258951,2025-05-20T03:43:43Z,2251.41,Credit,Refund,16
305,SAV8877444318,CUR1338258951,2023-06-28T15:59:09Z,1053.34,Credit,Gym membership,16
306,CUR1547374338,CUR1338258951,2024-12-19T22:13:08Z,3925.32,Credit,Bonus payment,16
307,BUS6587537178,CUR1338258951,2024-02-28T02:09:40Z,2696.15,Credit,Rental income,16
308,BUS1408988968,CUR1338258951,2024-08-22T10:32:03Z,4814.05,Credit,Freelance project,16
309,CUR1569902893,CUR1338258951,2025-04-22T02:09:30Z,735.49,Credit,Rental income,16
310,CUR1338258951,BUS4944899549,2024-05-21T14:17:52Z,3140.93,Debit,Insurance premium,16
311,CUR8515344013,CUR1338258951,2025-07-14T02:44:58Z,3475.04,Credit,Refund,16
312,CUR1338258951,CUR8616379926,2025-07-20T17:46:08Z,4236.6,Debit,Restaurant,16
313,SAV6320115677,CUR1338258951,2025-07-27T23:06:49Z,3979.41,Credit,Insurance premium,16
314,CUR7192423780,CUR1338258951,2024-03-22T15:38:34Z,4142.58,Credit,Rental income,16
315,BUS4273856102,CUR1338258951,2023-09-25T20:36:45Z,234.48,Credit,Phone bill,16
316,CUR1338258951,SAV2960730480,2025-07-30T00:35:34Z,4959.23,Debit,Transfer to savings,16
317,BUS4944899549,CUR1338258951,2024-02-19T04:48:10Z,471.23,Credit,Refund,16
318,CUR1338258951,CUR5517391943,2024-05-27T03:00:03Z,3129.89,Debit,Gym membership,16
319,CUR6211604267,CUR1338258951,2024-04-24T15:37:40Z,394.3,Credit,Tax payment,16
320,CUR3030106617,CUR1338258951,2024-04-08T18:54:44Z,1721.15,Credit,Electricity bill,16
321,CUR7900268326,CUR1240251661,2025-05-14T04:48:44Z,3655.16,Debit,Electricity bill,17
322,CUR7900268326,SAV3181106786,2023-07-31T11:24:31Z,3868.44,Debit,Consulting fee,17
323,SAV8429141456,CUR7900268326,2023-09-30T23:21:32Z,2818.64,Credit,Service charge,17
324,CUR7900268326,CUR1252860896,2023-12-03T16:01:24Z,761.11,Debit,Transfer to savings,17
325,CUR7900268326,CUR5791662169,2025-06-25T07:54:34Z,620.17,Debit,Gym membership,17
326,CUR1547374338,CUR7900268326,2025-02-25T12:47:56Z,1242.69,Credit,Phone bill,17
327,BUS9056616444,CUR7900268326,2023-06-22T09:02:07Z,1031.2,Credit,Service charge,17
328,CUR7380780055,CUR7900268326,2025-11-09T06:52:06Z,3920.09,Credit,Freelance project,17
329,CUR7900268326,CUR1338258951,2024-05-05T18:01:05Z,2971.68,Debit,Cheque deposit,17
330,SAV7517938612,CUR7900268326,2023-01-25T13:08:49Z,2107.21,Credit,Payroll,17
331,CUR3522707023,CUR7900268326,2023-12-20T17:08:56Z,73.9,Credit,Subscription renewal,17
332,SAV4698408854,CUR7900268326,2023-03-23T02:12:05Z,3144.71,Credit,Cheque deposit,17
333,CUR1429416213,CUR7900268326,2025-04-30T15:25:18Z,2690.59,Credit,Water bill,17
334,CUR7900268326,CUR9841118422,2024-07-22T03:02:37Z,4871.7,Debit,Water bill,17
335,BUS5578929439,CUR7900268326,2024-10-31T14:13:33Z,3494.89,Credit,Gym membership,17
336,CUR7900268326,CUR3614915281,2024-05-03T02:06:29Z,1549.9,Debit,Gym membership,17
337,CUR7900268326,CUR2439622619,2023-12-26T04:20:55Z,823.34,Debit,Refund,17
338,CUR7900268326,SAV4865030023,2024-06-14T06:04:44Z,1678.38,Debit,Transfer to savings,17
339,CUR7900268326,BUS3695232998,2024-07-11T19:04:22Z,2483.26,Debit,Cheque deposit,17
340,CUR7900268326,CUR5972484792,2025-01-07T02:01:06Z,790.76,Debit,Consulting fee,17
341,CUR1252860896,SAV7517938612,2023-07-30T20:53:43Z,2546.58,Credit,Grocery payment,18
342,SAV7517938612,BUS7567496105,2023-01-26T08:54:13Z,898.91,Debit,Stock sale proceeds,18
343,BUS2801177461,SAV7517938612,2023-03-14T20:07:45Z,1612.4,Credit,Transfer to savings,18
344,SAV6520103410,SAV7517938612,2024-10-17T09:52:34Z,2512.69,Credit,Grocery payment,18
345,SAV8923555411,SAV7517938612,2024-01-03T08:07:33Z,1639.87,Credit,Payroll,18
346,SAV7517938612,SAV4131575764,2025-07-24T00:17:24Z,3699.18,Debit,Online purchase,18
347,CUR8616379926,SAV7517938612,2025-08-08T13:24:30Z,3880.55,Credit,Gym membership,18
348,SAV7517938612,CUR3553440342,2024-05-17T05:28:55Z,2710.02,Debit,Phone bill,18
349,SAV7517938612,BUS8418332121,2023-01-20T12:11:51Z,524.23,Debit,Cheque deposit,18
350,SAV7517938612,BUS7567496105,2024-05-02T15:17:06Z,3559.7,Debit,Restaurant,18
351,CUR3030106617,SAV7517938612,2023-03-31T08:25:39Z,4478.41,Credit,Interest credit,18
352,SAV7517938612,SAV1939915527,2023-06-23T21:08:42Z,378.78,Debit,Tax payment,18
353,SAV4698408854,SAV7517938612,2023-05-08T15:50:14Z,1308.65,Credit,Rental income,18
354,SAV7517938612,SAV6320115677,2025-03-15T11:52:42Z,4718.06,Debit,Water bill,18
355,SAV7517938612,CUR7192423780,2023-08-12T05:39:29Z,2035.53,Debit,Payroll,18
356,SAV7517938612,SAV6520103410,2025-01-03T07:33:35Z,456.65,Debit,Freelance project,18
357,SAV7517938612,SAV1637045876,2024-09-15T21:57:56Z,3557.23,Debit,Refund,18
358,SAV7517938612,CUR7635473142,2025-03-22T18:41:40Z,160.26,Debit,Insurance premium,18
359,SAV2461042543,SAV7517938612,2025-07-15T20:14:29Z,514.03,Credit,Freelance project,18
360,SAV7517938612,CUR1561417687,2023-10-14T04:25:19Z,4119.25,Debit,Refund,18
361,CUR1276905285,CUR1252860896,2023-06-22T21:12:06Z,4512.97,Credit,Interest credit,19
362,SAV1526252306,CUR1252860896,2023-09-21T03:20:55Z,4711.69,Credit,Grocery payment,19
363,CUR1252860896,SAV5421592782,2023-12-11T20:53:40Z,3417.65,Debit,Loan repayment,19
364,CUR7805745017,CUR1252860896,2024-12-25T07:49:03Z,4417.7,Credit,Grocery payment,19
365,CUR1252860896,SAV7049001493,2024-05-18T23:34:00Z,2397.76,Debit,Restaurant,19
366,CUR1252860896,SAV8429141456,2024-07-26T13:56:42Z,1249.49,Debit,Freelance project,19
367,CUR1429416213,CUR1252860896,2023-02-09T13:55:34Z,3908.27,Credit,Refund,19
368,CUR1252860896,CUR7192423780,2025-10-25T11:42:33Z,2987.6,Debit,Salary,19
369,CUR2188332531,CUR1252860896,2024-07-29T02:07:59Z,3835.38,Credit,Online purchase,19
370,CUR1252860896,CUR1429416213,2023-11-23T03:38:44Z,4082.34,Debit,Gym membership,19
371,SAV4630196130,CUR1252860896,2023-04-25T07:59:18Z,884.62,Credit,Tax payment,19
372,CUR3030106617,CUR1252860896,2024-10-13T13:03:46Z,1761.65,Credit,Tax payment,19
373,SAV7623374739,CUR1252860896,2023-10-19T20:30:07Z,881.91,Credit,Grocery payment,19
374,CUR1252860896,SAV8429141456,2023-07-04T02:02:42Z,2392.55,Debit,Rental income,19
375,CUR1252860896,CUR7192423780,2024-02-17T04:45:03Z,302.48,Debit,Water bill,19
376,CUR5728897164,CUR1252860896,2023-10-18T04:02:18Z,1512.32,Credit,Water bill,19
377,BUS2362721798,CUR1252860896,2023-11-19T15:54:21Z,3537.38,Credit,Payroll,19
378,SAV8252045593,CUR1252860896,2024-12-31T08:07:40Z,641.11,Credit,Gym membership,19
379,CUR1252860896,BUS1139082827,2023-01-04T20:51:22Z,3013.93,Debit,Freelance project,19
380,CUR1334176969,CUR1252860896,2024-03-28T23:17:19Z,1737.32,Credit,Rental income,19
381,SAV4993808565,CUR3030106617,2023-12-10T23:09:46Z,3351.77,Credit,Gym membership,20
382,CUR3030106617,SAV6320115677,2024-11-18T16:15:40Z,1755.65,Debit,Freelance project,20
383,CUR3030106617,SAV1420514789,2023-08-10T00:02:47Z,4845.66,Debit,Transfer to savings,20
384,CUR3030106617,SAV7980611182,2025-10-06T13:47:18Z,3944.71,Debit,Tax payment,20
385,CUR3030106617,CUR2266622851,2024-04-06T05:55:19Z,1596.99,Debit,Electricity bill,20
386,CUR3030106617,SAV7418301077,2023-06-01T12:26:41Z,379.64,Debit,Restaurant,20
387,BUS5428082088,CUR3030106617,2024-11-23T21:37:40Z,4712.5,Credit,Loan repayment,20
388,CUR3030106617,CUR8110054933,2025-06-08T05:43:11Z,2049.35,Debit,Payroll,20
389,CUR3030106617,SAV1939915527,2024-06-27T10:14:59Z,2860.99,Debit,Bonus payment,20
390,CUR3030106617,CUR1240251661,2025-10-02T05:35:31Z,1476.27,Debit,Internet bill,20
391,CUR3030106617,CUR1338258951,2025-09-10T07:16:11Z,1462.6,Debit,Restaurant,20
392,CUR3030106617,CUR2926780541,2025-08-27T04:12:19Z,4474.91,Debit,ATM withdrawal,20
393,SAV3181106786,CUR3030106617,2023-07-06T23:22:10Z,1850.16,Credit,Interest credit,20
394,CUR3030106617,BUS4944899549,2023-04-02T09:35:10Z,2823.41,Debit,Water bill,20
395,SAV3532855799,CUR3030106617,2023-07-18T03:07:13Z,2770.24,Credit,Bonus payment,20
396,CUR3030106617,SAV7980611182,2025-03-03T19:01:35Z,2865.71,Debit,Online purchase,20
397,CUR3030106617,BUS9739092337,2025-09-02T10:52:51Z,2858.24,Debit,Cheque deposit,20
398,SAV4482141802,CUR3030106617,2023-10-29T04:22:45Z,4860.96,Credit,Freelance project,20
399,CUR3030106617,SAV7676965974,2024-01-30T04:35:39Z,2179.79,Debit,Bonus payment,20
400,CUR3030106617,CUR5668747327,2023-10-30T21:39:54Z,2784.04,Debit,Payroll,20
401,CUR2802141793,SAV4131356954,2024-10-29T10:03:22Z,2075.14,Credit,Water bill,21
402,SAV4698408854,SAV4131356954,2023-07-25T03:50:45Z,4338.04,Credit,Refund,21
403,SAV4131356954,BUS6587537178,2025-04-21T09:37:00Z,2367.87,Debit,Loan repayment,21
404,SAV4131356954,BUS2725373847,2024-07-18T14:40:18Z,1981.98,Debit,Rental income,21
405,SAV5381866906,SAV4131356954,2024-05-01T01:47:40Z,4087.84,Credit,Deposit,21
406,BUS4731897202,SAV4131356954,2024-09-28T10:12:25Z,676.26,Credit,Gym membership,21
407,SAV4131356954,CUR9462806178,2025-06-26T11:40:56Z,450.99,Debit,Interest credit,21
408,SAV4526242854,SAV4131356954,2024-03-08T14:49:28Z,2578.77,Credit,Loan repayment,21
409,CUR8616379926,SAV4131356954,2023-05-15T11:19:39Z,4257.22,Credit,Tax payment,21
410,SAV4131356954,CUR2071552532,2023-03-01T06:19:32Z,2284.96,Debit,Refund,21
411,SAV4131356954,SAV1939915527,2024-02-12T09:58:30Z,3178.87,Debit,Electricity bill,21
412,SAV4131356954,CUR7635473142,2023-03-04T08:48:31Z,4802.8,Debit,Merchant payment,21
413,SAV4131356954,BUS5683197659,2024-12-17T12:32:01Z,142.12,Debit,Grocery payment,21
414,CUR3553440342,SAV4131356954,2023-11-30T20:50:07Z,3238.66,Credit,Internet bill,21
415,CUR8616379926,SAV4131356954,2024-02-28T09:47:49Z,4835.86,Credit,Internet bill,21
416,BUS4439688162,SAV4131356954,2023-01-19T17:15:40Z,1122.73,Credit,Service charge,21
417,SAV4131356954,SAV7266348777,2024-09-17T23:24:05Z,1094.95,Debit,Deposit,21
418,SAV4131356954,CUR2472659626,2025-03-24T21:16:49Z,4832.59,Debit,Bonus payment,21
419,SAV3939532043,SAV4131356954,2025-02-05T20:26:31Z,2411.28,Credit,Rental income,21
420,SAV4131356954,CUR9462806178,2024-07-20T23:19:24Z,3556.91,Debit,Phone bill,21
421,CUR2926780541,CUR7872090713,2024-09-03T06:51:28Z,3304.35,Debit,Internet bill,22
422,SAV9190122806,CUR2926780541,2023-10-14T00:55:36Z,2025.97,Credit,Gym membership,22
423,CUR8110054933,CUR2926780541,2023-03-14T21:13:38Z,1719.12,Credit,Medical bill,22
424,CUR2472659626,CUR2926780541,2024-03-31T19:27:55Z,1795.69,Credit,Deposit,22
425,SAV4131356954,CUR2926780541,2023-12-15T23:56:34Z,2356.55,Credit,Gym membership,22
426,SAV7676965974,CUR2926780541,2024-06-13T20:21:13Z,4498.46,Credit,Phone bill,22
427,CUR2926780541,SAV9103931356,2023-07-02T08:05:31Z,1861.55,Debit,Tax payment,22
428,CUR1338258951,CUR2926780541,2024-08-25T16:53:06Z,2919.96,Credit,Service charge,22
429,SAV7676965974,CUR2926780541,2023-05-26T17:11:34Z,1911.44,Credit,Deposit,22
430,CUR8110054933,CUR2926780541,2025-04-26T01:58:06Z,1716.64,Credit,Tax payment,22
431,CUR2926780541,CUR7389111087,2025-07-26T05:12:52Z,3157.01,Debit,Loan repayment,22
432,CUR2926780541,CUR9841118422,2024-10-03T23:06:05Z,3807.16,Debit,Loan repayment,22
433,CUR7934137693,CUR2926780541,2023-11-21T17:49:29Z,3169.27,Credit,Insurance premium,22
434,CUR2926780541,CUR8110054933,2025-05-28T17:22:53Z,3654.64,Debit,Salary,22
435,CUR2926780541,BUS4150801944,2024-10-21T19:20:03Z,1135.2,Debit,Refund,22
436,CUR2926780541,SAV4131575764,2024-10-01T04:41:39Z,839.27,Debit,Bonus payment,22
437,SAV8429141456,CUR2926780541,2023-04-04T10:51:25Z,2983.87,Credit,Rental income,22
438,CUR2926780541,SAV4221721910,2025-06-07T04:52:16Z,828.59,Debit,Freelance project,22
439,CUR2926780541,CUR9684051360,2025-04-06T00:41:46Z,2525.64,Debit,Electricity bill,22
440,CUR1338258951,CUR2926780541,2025-01-20T23:41:07Z,1282.67,Credit,Payroll,22
441,BUS4591108099,SAV1420514789,2023-04-10T21:37:26Z,245.93,Credit,Electricity bill,23
442,SAV1420514789,SAV7980611182,2025-05-03T16:10:37Z,3510.83,Debit,Subscription renewal,23
443,SAV1420514789,SAV8429141456,2023-01-20T10:57:47Z,1353.54,Debit,Service charge,23
444,SAV7418301077,SAV1420514789,2023-10-08T15:14:56Z,3090.4,Credit,Deposit,23
445,SAV1420514789,SAV5179517389,2023-08-22T03:52:08Z,1792.82,Debit,Transfer to savings,23
446,SAV1420514789,CUR9841118422,2024-08-27T05:50:20Z,3442.58,Debit,Merchant payment,23
447,SAV1420514789,CUR8168394616,2024-11-08T08:32:17Z,749.98,Debit,Restaurant,23
448,SAV6566372886,SAV1420514789,2023-06-03T03:41:16Z,2324.07,Credit,Electricity bill,23
449,SAV7676965974,SAV1420514789,2023-12-24T01:26:10Z,1566.97,Credit,Gym membership,23
450,CUR4659306670,SAV1420514789,2023-08-26T03:27:31Z,3318.46,Credit,Loan repayment,23
451,SAV5694190173,SAV1420514789,2024-11-04T13:01:01Z,4075.75,Credit,Loan repayment,23
452,SAV1420514789,SAV3181106786,2023-08-22T14:35:30Z,3451.06,Debit,Merchant payment,23
453,CUR1547374338,SAV1420514789,2025-05-13T23:37:25Z,3482.37,Credit,Grocery payment,23
454,SAV1420514789,SAV7517938612,2023-11-23T03:46:33Z,3393.57,Debit,Loan repayment,23
455,BUS5856127658,SAV1420514789,2025-02-16T13:03:22Z,4602.39,Credit,Electricity bill,23
456,SAV1420514789,CUR7192423780,2025-04-22T16:02:41Z,66.74,Debit,Stock sale proceeds,23
457,BUS5704029171,SAV1420514789,2024-04-03T12:19:01Z,3310.26,Credit,Online purchase,23
458,CUR1234359689,SAV1420514789,2025-09-13T12:35:18Z,3218.78,Credit,Loan repayment,23
459,CUR8522334580,SAV1420514789,2025-11-01T17:05:10Z,1606.57,Credit,Rental income,23
460,SAV3181106786,SAV1420514789,2024-07-23T01:49:59Z,2019.37,Credit,Online purchase,23
461,CUR7380780055,CUR1240251661,2023-06-11T16:42:54Z,4283.66,Debit,Interest credit,24
462,CUR5735817014,CUR7380780055,2024-10-09T04:19:19Z,2064.63,Credit,Payroll,24
463,BUS8178927766,CUR7380780055,2023-01-01T03:18:33Z,4752.02,Credit,Refund,24
464,CUR8616379926,CUR7380780055,2023-04-22T08:06:58Z,3100.69,Credit,Merchant payment,24
465,CUR7380780055,CUR5304403129,2025-01-14T16:28:34Z,1778.92,Debit,Phone bill,24
466,CUR4852057916,CUR7380780055,2024-08-20T19:56:26Z,2464.65,Credit,Bonus payment,24
467,CUR7380780055,SAV6520103410,2025-04-18T03:53:39Z,4651.43,Debit,Insurance premium,24
468,CUR9520940324,CUR7380780055,2024-03-17T16:38:25Z,543.29,Credit,Transfer to savings,24
469,CUR8616379926,CUR7380780055,2023-04-06T23:03:20Z,4459.31,Credit,Interest credit,24
470,CUR1252860896,CUR7380780055,2025-10-29T04:54:07Z,247.62,Credit,Transfer to savings,24
471,BUS3484872186,CUR7380780055,2025-09-16T18:30:28Z,3653.82,Credit,Water bill,24
472,SAV6947080764,CUR7380780055,2023-08-01T14:06:18Z,4897.61,Credit,Medical bill,24
473,CUR7380780055,SAV4698408854,2024-05-23T09:57:40Z,2266.96,Debit,Water bill,24
474,BUS8991678061,CUR7380780055,2023-10-10T15:01:39Z,3560.81,Credit,Payroll,24
475,CUR7380780055,BUS3887823121,2024-03-21T07:18:50Z,4906.77,Debit,Phone bill,24
476,BUS8934097788,CUR7380780055,2023-12-31T18:20:46Z,4042.48,Credit,Cheque deposit,24
477,CUR7380780055,CUR8110054933,2023-08-07T00:55:12Z,1338.56,Debit,Freelance project,24
478,CUR3030106617,CUR7380780055,2023-11-26T10:26:07Z,3922.87,Credit,Subscription renewal,24
479,SAV7676965974,CUR7380780055,2023-03-08T13:03:33Z,3698.76,Credit,Stock sale proceeds,24
480,CUR3030106617,CUR7380780055,2024-04-04T23:33:39Z,1441.76,Credit,Internet bill,24
481,SAV6520103410,BUS3371357111,2023-04-07T13:53:34Z,69.76,Debit,ATM withdrawal,25
482,SAV4564751926,SAV6520103410,2024-02-20T22:35:38Z,4557.87,Credit,Medical bill,25
483,BUS5141593270,SAV6520103410,2025-01-23T21:25:20Z,1474.42,Credit,Loan repayment,25
484,CUR2620054076,SAV6520103410,2023-06-02T06:48:27Z,2145.4,Credit,Payroll,25
485,SAV6520103410,CUR6714723660,2024-06-25T04:44:08Z,3549.9,Debit,Water bill,25
486,CUR8616379926,SAV6520103410,2023-03-23T05:35:46Z,4662.25,Credit,Service charge,25
487,SAV6320115677,SAV6520103410,2024-09-08T17:51:37Z,3921.24,Credit,Rental income,25
488,CUR7601519165,SAV6520103410,2024-03-26T06:41:40Z,464.27,Credit,Online purchase,25
489,SAV6520103410,CUR5791662169,2024-03-12T12:05:00Z,3093.31,Debit,Merchant payment,25
490,CUR9462806178,SAV6520103410,2023-01-19T04:10:36Z,3070.44,Credit,Service charge,25
491,SAV3181106786,SAV6520103410,2024-05-14T01:27:06Z,1286.67,Credit,Gym membership,25
492,SAV7479970041,SAV6520103410,2024-08-02T00:53:58Z,2436.59,Credit,Deposit,25
493,CUR3290101581,SAV6520103410,2024-01-30T11:39:44Z,3136.53,Credit,Subscription renewal,25
494,CUR3030106617,SAV6520103410,2024-03-12T15:26:41Z,4393.79,Credit,Gym membership,25
495,SAV7676965974,SAV6520103410,2025-06-10T23:32:26Z,773.0,Credit,Interest credit,25
496,SAV6520103410,CUR1298737106,2024-11-10T01:22:45Z,2792.63,Debit,Tax payment,25
497,SAV6520103410,SAV1939915527,2024-04-11T09:25:01Z,2167.96,Debit,Salary,25
498,BUS9785427977,SAV6520103410,2025-03-08T04:18:26Z,4242.01,Credit,Refund,25
499,SAV6520103410,BUS5666504394,2025-10-26T03:51:51Z,3827.54,Debit,Interest credit,25
500,SAV4482141802,SAV6520103410,2025-02-20T14:23:08Z,2669.67,Credit,Water bill,25
501,CUR9841118422,SAV5077921573,2025-03-11T19:52:09Z,2769.85,Debit,Payroll,26
502,CUR9841118422,SAV1939915527,2023-10-17T04:29:12Z,2688.07,Debit,Restaurant,26
503,SAV6204370540,CUR9841118422,2024-09-16T07:38:52Z,4528.61,Credit,Stock sale proceeds,26
504,CUR9841118422,SAV1834624758,2023-10-19T05:51:36Z,910.88,Debit,Freelance project,26
505,CUR9841118422,SAV4698408854,2023-04-22T19:58:59Z,3360.07,Debit,ATM withdrawal,26
506,CUR9520940324,CUR9841118422,2023-07-21T07:11:15Z,1788.91,Credit,Internet bill,26
507,CUR9841118422,CUR8110054933,2024-04-25T03:38:33Z,1592.34,Debit,Interest credit,26
508,CUR2839566253,CUR9841118422,2024-11-03T22:26:25Z,29.14,Credit,Online purchase,26
509,CUR9841118422,CUR7356353895,2024-03-29T23:19:55Z,2229.56,Debit,Consulting fee,26
510,BUS6587537178,CUR9841118422,2024-09-17T17:43:48Z,414.46,Credit,ATM withdrawal,26
511,CUR9841118422,BUS9918338001,2023-10-14T19:36:37Z,381.62,Debit,Salary,26
512,CUR9841118422,SAV1939915527,2025-11-04T22:59:48Z,3847.16,Debit,Subscription renewal,26
513,CUR9841118422,BUS4329446784,2023-03-17T20:04:58Z,1832.26,Debit,Online purchase,26
514,CUR9841118422,SAV1939915527,2024-08-18T04:52:28Z,1822.51,Debit,Salary,26
515,CUR2916502228,CUR9841118422,2024-05-04T22:21:22Z,899.83,Credit,Tax payment,26
516,CUR5791662169,CUR9841118422,2023-10-27T17:36:13Z,2440.77,Credit,Restaurant,26
517,CUR9841118422,BUS6846530109,2024-06-25T13:27:02Z,2351.02,Debit,Interest credit,26
518,SAV4993808565,CUR9841118422,2023-04-06T01:27:10Z,4842.36,Credit,Phone bill,26
519,SAV3181106786,CUR9841118422,2024-07-14T09:35:13Z,3270.11,Credit,Refund,26
520,CUR9841118422,CUR7512767226,2023-06-09T18:48:40Z,1767.73,Debit,Stock sale proceeds,26
521,CUR5891831621,SAV3181106786,2024-12-07T17:43:33Z,832.2,Credit,Restaurant,27
522,SAV3181106786,BUS6587537178,2024-07-29T07:42:03Z,3587.93,Debit,Electricity bill,27
523,SAV8195055602,SAV3181106786,2024-04-16T15:05:44Z,2397.71,Credit,Tax payment,27
524,SAV3409076656,SAV3181106786,2023-11-27T23:33:57Z,643.79,Credit,Tax payment,27
525,SAV7517938612,SAV3181106786,2023-11-26T04:54:18Z,738.59,Credit,Loan repayment,27
526,SAV7517938612,SAV3181106786,2024-06-12T06:33:17Z,3189.93,Credit,Gym membership,27
527,SAV3181106786,SAV9020002737,2024-08-03T03:07:19Z,856.98,Debit,Bonus payment,27
528,SAV3181106786,CUR8616379926,2025-04-21T21:52:33Z,913.51,Debit,Internet bill,27
529,SAV3181106786,SAV1295678014,2025-11-12T09:37:51Z,1894.17,Debit,Water bill,27
530,SAV3181106786,BUS8234304760,2023-08-11T00:36:10Z,4133.44,Debit,Service charge,27
531,SAV3181106786,CUR4231461054,2023-07-17T06:27:35Z,470.48,Debit,Internet bill,27
532,CUR8616379926,SAV3181106786,2023-09-24T21:58:18Z,3394.4,Credit,Transfer to savings,27
533,SAV8740820392,SAV3181106786,2025-05-11T13:29:06Z,3948.83,Credit,Insurance premium,27
534,BUS3474420092,SAV3181106786,2024-12-18T21:26:47Z,2130.32,Credit,ATM withdrawal,27
535,BUS6587537178,SAV3181106786,2025-09-04T08:27:55Z,4384.45,Credit,Transfer to savings,27
536,SAV3181106786,CUR5325865521,2024-06-11T06:52:55Z,3274.46,Debit,Medical bill,27
537,SAV3181106786,CUR9462806178,2024-10-08T14:53:08Z,2928.92,Debit,ATM withdrawal,27
538,SAV3181106786,SAV7676965974,2025-05-17T20:33:32Z,1990.28,Debit,Subscription renewal,27
539,CUR5972484792,SAV3181106786,2025-04-26T20:06:05Z,2797.67,Credit,Merchant payment,27
540,SAV4160161496,SAV3181106786,2024-06-03T11:09:53Z,4275.72,Credit,Internet bill,27
541,CUR3553440342,CUR1430693397,2023-09-01T08:21:56Z,2544.18,Debit,Freelance project,28
542,CUR5985331805,CUR3553440342,2024-11-24T20:02:45Z,4823.03,Credit,Salary,28
543,CUR3553440342,CUR5570190774,2023-07-06T05:17:28Z,1112.74,Debit,Restaurant,28
544,CUR9462806178,CUR3553440342,2023-03-19T13:59:34Z,2607.42,Credit,Medical bill,28
545,CUR8110054933,CUR3553440342,2023-04-28T06:22:53Z,4253.59,Credit,Freelance project,28
546,CUR3553440342,SAV8429141456,2024-08-08T07:05:25Z,3493.76,Debit,Service charge,28
547,CUR3553440342,CUR7010521940,2023-12-14T01:18:46Z,3349.96,Debit,Insurance premium,28
548,CUR3553440342,CUR7655449762,2024-02-15T18:51:01Z,3632.06,Debit,Payroll,28
549,BUS6587537178,CUR3553440342,2024-12-13T12:39:04Z,4815.47,Credit,Interest credit,28
550,CUR3553440342,SAV3880327491,2025-04-07T20:55:54Z,536.79,Debit,Restaurant,28
551,CUR3553440342,SAV3880327491,2025-10-27T10:42:48Z,4783.76,Debit,Payroll,28
552,CUR8616379926,CUR3553440342,2024-05-27T16:07:14Z,1220.15,Credit,Rental income,28
553,SAV5794335854,CUR3553440342,2025-07-28T16:46:27Z,342.43,Credit,Phone bill,28
554,CUR2188332531,CUR3553440342,2024-03-27T08:22:17Z,2584.94,Credit,Salary,28
555,CUR3553440342,CUR1252860896,2024-06-23T09:02:19Z,4106.27,Debit,Restaurant,28
556,CUR3553440342,SAV7517938612,2024-01-01T17:21:03Z,1349.03,Debit,Gym membership,28
